0.018,0.704,0.616,0.507,0.825
0.83,0.479,0.525,0.873,0.489
0.927,0.769,0.273,0.533,0.576
0.499,0.1,0.717,0.984,0.242
0.47,0.879,0.652,0.308,0.852
0.642,0.24,0.391,0.467,0.272
0.655,0.111,0.876,0.935,0.155
0.403,0.458,0.477,0.777,0.078
0.406,0.592,0.873,0.739,0.316
0.787,0.179,0.968,0.813,0.512
0.406,0.141,0.903,0.797,0.354
0.142,0.455,0.337,0.506,0.237
0.895,0.601,0.293,0.775,0.614
0.306,0.69,0.083,0.571,0.448
0.432,0.979,0.148,0.951,0.719
0.68,0.381,0.533,0.905,0.026
0.492,0.353,0.255,0.921,0.93
0.479,0.163,0.034,0.074,0.527
0.712,0.461,0.921,0.332,0.7
0.96,0.742,0.722,0.357,0.147
0.596,0.602,0.56,0.135,0.583
0.382,0.768,0.438,0.175,0.881
0.55,0.559,0.23,0.139,0.861
0.999,0.794,0.335,0.416,0.245
0.414,0.924,0.554,0.303,0.03
0.987,0.555,0.224,0.143,0.211
0.483,0.425,0.018,0.249,0.205
0.694,0.776,0.003,0.549,0.763
0.474,0.796,0.073,0.367,0.709
0.273,0.492,0.19,0.559,0.662
0.859,0.411,0.235,0.653,0.071
0.872,0.568,0.404,0.106,0.775
0.354,0.279,0.414,0.588,0.762
0.134,0.044,0.383,0.905,0.996
0.516,0.74,0.381,0.625,0.073
0.832,0.996,0.528,0.913,0.94
0.552,0.314,0.679,0.981,0.831
0.628,0.917,0.656,0.041,0.336
0.956,0.563,0.513,0.488,0.641
0.744,0.222,0.771,0.158,0.448
0.955,0.993,0.691,0.357,0.35
0.282,0.408,0.022,0.819,0.921
0.116,0.273,0.938,0.711,0.644
0.857,0.238,0.391,0.547,0.63
0.205,0.682,0.064,0.915,0.512
0.149,0.415,0.63,0.794,0.13
0.865,0.28,0.789,0.626,0.612
0.583,0.227,0.91,0.801,0.716
0.51,0.045,0.097,0.872,0.436
0.196,0.253,0.827,0.816,0.261
0.293,0.497,0.326,0.99,0.09
0.391,0.954,0.707,0.889,0.035
0.174,0.088,0.877,0.574,0.83
0.531,0.106,0.045,0.893,0.167
0.332,0.845,0.275,0.38,0.414
0.985,0.077,0.916,0.968,0.679
0.425,0.815,0.841,0.733,0.746
0.323,0.349,0.023,0.671,0.205
0.661,0.27,0.217,0.417,0.811
0.886,0.278,0.863,0.637,0.149
0.287,0.297,0.23,0.85,0.269
0.239,0.642,0.304,0.312,0.934
0.719,0.845,0.72,0.267,0.892
0.254,0.458,0.432,0.377,0.057
0.452,0.303,0.566,0.056,0.476
0.141,0.119,0.249,0.211,0.765
0.894,0.188,0.958,0.435,0.964
0.022,0.616,0.833,0.122,0.271
0.836,0.191,0.235,0.733,0.282
0.1,0.733,0.209,0.915,0.954
0.976,0.902,0.986,0.711,0.792
0.208,0.967,0.079,0.241,0.267
0.636,0.51,0.495,0.97,0.568
0.619,0.925,0.746,0.624,0.78
0.09,0.483,0.116,0.824,0.932
0.624,0.3,0.556,0.789,0.189
0.84,0.472,0.429,0.593,0.951
0.026,0.921,0.965,0.357,0.41
0.454,0.18,0.84,0.234,0.002
0.419,0.662,0.104,0.465,0.616
0.396,0.322,0.069,0.457,0.409
0.486,0.375,0.579,0.103,0.811
0.516,0.568,0.093,0.47,0.307
0.727,0.755,0.439,0.983,0.483
0.911,0.135,0.631,0.958,0.212
0.887,0.023,0.615,0.529,0.961
0.256,0.115,0.917,0.98,0.088
0.803,0.748,0.177,0.973,0.23
0.23,0.828,0.457,0.571,0.096
0.619,0.188,0.886,0.359,0.778
0.842,0.138,0.37,0.712,0.238
0.276,0.13,0.337,0.032,0.763
0.21,0.301,0.711,0.357,0.53
0.632,0.64,0.78,0.862,0.251
0.181,0.868,0.081,0.104,0.742
0.075,0.249,0.644,0.563,0.07
0.159,0.157,0.079,0.965,0.63
0.683,0.21,0.431,0.219,0.791
0.576,0.324,0.809,0.453,0.497
0.901,0.003,0.835,0.416,0.592
0.202,0.193,0.216,0.056,0.684
0.964,0.649,0.671,0.445,0.221
0.198,0.802,0.998,0.911,0.545
0.898,0.476,0.473,0.084,0.543
0.459,0.647,0.38,0.692,0.445
0.02,0.096,0.274,0.685,0.421
0.582,0.244,0.187,0.448,0.585
0.526,0.335,0.851,0.259,0.12
0.131,0.236,0.338,0.881,0.1
0.556,0.448,0.089,0.185,0.083
0.046,0.147,0.851,0.303,0.509
0.93,0.184,0.747,0.588,0.574
0.751,0.352,0.31,0.085,0.252
0.868,0.25,0.06,0.808,0.04
0.332,0.862,0.594,0.169,0.664
0.194,0.491,0.994,0.583,0.133
0.904,0.685,0.206,0.491,0.862
0.356,0.269,0.166,0.675,0.676
0.07,0.676,0.755,0.214,0.796
0.342,0.381,0.892,0.928,0.91
0.871,0.918,0.363,0.033,0.581
0.529,0.742,0.224,0.508,0.524
0.059,0.488,0.864,0.074,0.329
0.73,0.144,0.904,0.562,0.077
0.409,0.413,0.584,0.346,0.925
0.299,0.182,0.105,0.213,0.941
0.605,0.419,0.097,0.047,0.703
0.432,0.521,0.553,0.805,0.544
0.493,0.594,0.605,0.353,0.884
0.524,0.984,0.849,0.135,0.72
0.262,0.575,0.587,0.764,0.109
0.447,0.193,0.696,0.966,0.526
0.62,0.709,0.899,0.856,0.778
0.574,0.048,0.077,0.347,0.668
0.131,0.549,0.534,0.566,0.882
0.399,0.333,0.203,0.91,0.926
0.262,0.611,0.939,0.24,0.844
0.837,0.852,0.984,0.771,0.879
0.098,0.915,0.695,0.937,0.736
0.704,0.63,0.597,0.694,0.286
0.648,0.356,0.564,0.779,0.799
0.803,0.7,0.591,0.684,0.847
0.974,0.827,0.792,0.481,0.305
0.752,0.028,0.428,0.96,0.271
0.616,0.253,0.126,0.278,0.603
0.14,0.016,0.804,0.342,0.376
0.564,0.911,0.744,0.222,0.577
0.797,0.62,0.93,0.882,0.145
0.194,0.422,0.409,0.826,0.717
0.464,0.949,0.854,0.441,0.187
0.546,0.89,0.972,0.47,0.012
0.19,0.999,0.761,0.22,0.772
0.059,0.06,0.905,0.156,0.765
0.776,0.733,0.129,0.456,0.996
0.714,0.681,0.972,0.509,0.094
0.948,0.946,0.608,0.207,0.054
0.224,0.091,0.873,0.518,0.27
0.489,0.151,0.835,0.076,0.765
0.693,0.63,0.17,0.691,0.262
0.611,0.179,0.657,0.515,0.536
0.218,0.023,0.262,0.94,0.34
0.71,0.692,0.928,0.812,0.314
0.639,0.196,0.772,0.502,0.708
0.221,0.455,0.389,0.179,0.942
0.914,0.938,0.178,0.055,0.167
0.642,0.621,0.419,0.306,0.32
0.29,0.988,0.426,0.462,0.404
0.737,0.366,0.558,0.773,0.302
0.217,0.379,0.19,0.708,0.184
0.262,0.606,0.289,0.684,0.165
0.15,0.628,0.072,0.689,0.464
0.514,0.426,0.336,0.828,0.215
0.022,0.608,0.35,0.784,0.851
0.429,0.039,0.348,0.703,0.679
0.106,0.032,0.283,0.689,0.849
0.198,0.702,0.512,0.197,0.727
0.405,0.953,0.151,0.202,0.045
0.515,0.655,0.792,0.247,0.567
0.701,0.699,0.276,0.127,0.369
0.027,0.83,0.363,0.523,0.447
0.526,0.254,0.798,0.904,0.928
0.539,0.489,0.843,0.435,0.107
0.02,0.268,0.641,0.049,0.033
0.469,0.244,0.6,0.23,0.735
0.494,0.97,0.497,0.031,0.779
0.421,0.487,0.825,0.495,0.937
0.407,0.159,0.034,0.814,0.699
0.398,0.34,0.898,0.702,0.205
0.428,0.914,0.94,0.727,0.87
0.492,0.714,0.662,0.119,0.861
0.659,0.098,0.324,0.214,0.858
0.517,0.579,0.114,0.962,0.528
0.225,0.317,0.74,0.655,0.179
0.456,0.111,0.433,0.043,0.395
0.263,0.194,0.566,0.241,0.568
0.943,0.075,0.575,0.075,0.102
0.47,0.876,0.29,0.725,0.527
0.783,0.067,0.066,0.651,0.389
0.034,0.293,0.926,0.483,0.201
0.1,0.352,0.744,0.802,0.06
0.642,0.727,0.302,0.217,0.846
0.67,0.318,0.076,0.955,0.839
0.519,0.851,0.326,0.893,0.726
0.27,0.12,0.695,0.772,0.233
0.586,0.293,0.484,0.112,0.677
0.565,0.561,0.355,0.263,0.757
0.563,0.073,0.999,0.961,0.427
0.692,0.119,0.012,0.554,0.46
0.354,0.455,0.628,0.801,0.504
0.659,0.304,0.733,0.678,0.442
0.468,0.402,0.691,0.031,0.313
0.395,0.755,0.069,0.459,0.551
0.65,0.546,0.01,0.72,0.185
0.06,0.118,0.489,0.886,0.569
0.262,0.073,0.705,0.722,0.083
0.274,0.173,0.896,0.748,0.744
0.536,0.951,0.951,0.046,0.238
0.008,0.93,0.597,0.12,0.45
0.443,0.901,0.314,0.15,0.172
0.694,0.199,0.593,0.978,0.554
0.785,0.652,0.741,0.066,0.467
0.085,0.358,0.193,0.709,0.466
0.795,0.559,0.704,0.552,0.338
0.41,0.362,0.442,0.519,0.097
0.713,0.734,0.992,0.712,0.582
0.976,0.916,0.161,0.529,0.9
